Country;Year;Food Category;Total Waste (Tons);Economic Loss (Million $);Avg Waste per Capita (Kg);Population (Million);Household Waste (%);Economic Loss per Ton ($);Year Category
Japan;2019;Dairy Products;2897222;2433405;8714;55742;5983; 8.399.097.480.275.930,00 ;2018-2021
Saudi Arabia;2018;Frozen Food;275115;231076;5239;62292;510; 8.399.251.222.216.160,00 ;2018-2021
Argentina;2019;Bakery Items;290646;2441434;10195;80405;5254; 8.400.026.148.648.180,00 ;2018-2021
USA;2018;Frozen Food;542723;455983;9369;19113;5913; 8.401.762.961.952.970,00 ;2018-2021
Japan;2018;Meat & Seafood;2692802;2262518;17149;2354;6798; 8.402.095.660.950.930,00 ;2018-2021
South Korea;2023;Beverages;73170;614799;3785;28531;3859; 8.402.337.023.370.230,00 ;2022-2024
South Korea;2022;Grains & Cereals;2294238;1927751;11371;52225;5382; 8.402.576.367.403.900,00 ;2022-2024
Canada;2022;Bakery Items;4689732;3941429;2422;82628;6151; 8.404.380.037.068.220,00 ;2022-2024
Indonesia;2020;Beverages;1902502;1599002;9352;35041;6387; 8.404.732.294.630.960,00 ;2018-2021
South Africa;2022;Beverages;2991989;2514781;3257;101744;5487; 8.405.047.612.140.290,00 ;2022-2024
Saudi Arabia;2023;Prepared Food;3847053;3233693;18634;37201;3522; 8.405.636.730.245.200,00 ;2022-2024
France;2019;Fruits & Vegetables;340623;2863402;2472;50245;3092; 8.406.367.156.651.190,00 ;2018-2021
France;2023;Dairy Products;1686971;1418175;15722;87404;371; 8.406.635.324.495.800,00 ;2022-2024
France;2024;Meat & Seafood;1004072;844174;15321;103464;3135; 8.407.504.641.101.440,00 ;2022-2024
Russia;2024;Beverages;1214855;1021413;687;120948;6266; 8.407.694.745.463.450,00 ;2022-2024
Spain;2020;Frozen Food;1544915;1299026;1235;4267;3952; 8.408.397.873.022.140,00 ;2018-2021
USA;2020;Grains & Cereals;1600815;134628;2208;128109;5804; 8.409.966.173.480.380,00 ;2018-2021
Indonesia;2023;Dairy Products;4268647;3590927;13108;93212;3968; 8.412.330.651.843.550,00 ;2022-2024
South Korea;2022;Fruits & Vegetables;3703474;3116126;11183;15233;6843; 8.414.062.040.127.730,00 ;2022-2024
Australia;2022;Fruits & Vegetables;4474489;3765247;11465;2387;3319; 8.414.920.675.858.180,00 ;2022-2024
Turkey;2021;Grains & Cereals;1250613;1052425;11128;20963;6931; 8.415.273.150.047.220,00 ;2018-2021
Russia;2020;Prepared Food;1676682;1411179;8729;124921;3238; 8.416.497.582.725.880,00 ;2018-2021
Mexico;2018;Frozen Food;4047881;3407196;15192;83606;4598; 8.417.233.609.387.230,00 ;2018-2021
Canada;2022;Prepared Food;3927011;3305694;6781;36805;5042; 8.417.837.383.190.420,00 ;2022-2024
France;2018;Grains & Cereals;2332902;196395;13891;130316;6534; 8.418.484.788.473.750,00 ;2018-2021
USA;2020;Dairy Products;4889402;4117649;18716;4651;5984; 8.421.579.980.537.500,00 ;2018-2021
Japan;2024;Grains & Cereals;620667;52271;10903;130351;6317; 8.421.746.282.628.200,00 ;2022-2024
Japan;2020;Frozen Food;207864;175063;5075;125437;3713; 8.421.997.075.010.580,00 ;2018-2021
China;2021;Prepared Food;3160443;2661906;9424;104121;5807; 8.422.572.405.197.630,00 ;2018-2021
Brazil;2019;Prepared Food;1380704;1163283;2349;65405;5444; 8.425.288.838.157.920,00 ;2018-2021
Germany;2020;Bakery Items;904208;761865;11609;89847;3461; 8.425.771.503.901.760,00 ;2018-2021
India;2020;Meat & Seafood;3709727;3125912;8557;113593;5589; 8.426.258.859.479.420,00 ;2018-2021
Mexico;2024;Beverages;570666;48086;5684;104276;4137; 8.426.294.890.531.410,00 ;2022-2024
Argentina;2019;Frozen Food;2726655;2297741;12752;102415;5615; 8.426.959.039.555.790,00 ;2018-2021
Brazil;2022;Frozen Food;3779481;318496;4876;766;3869; 8.426.977.143.158.020,00 ;2022-2024
Saudi Arabia;2019;Fruits & Vegetables;4431958;3734947;11372;137823;6161; 8.427.306.847.221.930,00 ;2018-2021
Germany;2024;Beverages;3280456;2764866;19949;83219;4446; 8.428.297.773.236.400,00 ;2022-2024
China;2018;Meat & Seafood;4072483;3432521;1673;83165;6677; 8.428.570.481.448.300,00 ;2018-2021
Argentina;2021;Prepared Food;3004824;2532789;13825;75029;6422; 8.429.076.045.718.480,00 ;2018-2021
Germany;2023;Dairy Products;3280549;276529;18731;85885;4883; 8.429.351.306.747.740,00 ;2022-2024
Russia;2020;Beverages;4077515;3437938;8252;5874;5207; 8.431.453.961.542.750,00 ;2018-2021
Germany;2021;Bakery Items;168448;1420502;10413;72649;3615; 8.432.881.363.981.760,00 ;2018-2021
Brazil;2023;Fruits & Vegetables;2919612;2462733;18614;8894;6998; 8.435.137.956.687.400,00 ;2022-2024
Russia;2020;Dairy Products;3593668;303149;14007;7816;397; 8.435.642.914.147.880,00 ;2018-2021
Australia;2024;Prepared Food;4331269;3653757;1250;27528;4499; 8.435.765.592.023.950,00 ;2022-2024
Spain;2022;Frozen Food;213094;179776;16131;81137;5574; 8.436.464.658.789.080,00 ;2022-2024
South Africa;2019;Dairy Products;802286;676862;8096;112245;5078; 8.436.667.223.409.110,00 ;2018-2021
USA;2020;Fruits & Vegetables;399937;337545;2106;1314;5941; 8.439.954.292.801.120,00 ;2018-2021
Germany;2024;Grains & Cereals;993243;838334;12027;90801;4393; 8.440.371.590.839.300,00 ;2022-2024
Canada;2020;Fruits & Vegetables;787105;664378;6987;45184;4388; 8.440.779.819.719.100,00 ;2018-2021
Saudi Arabia;2019;Fruits & Vegetables;1065337;899233;7416;3776;4644; 8.440.831.398.890.680,00 ;2018-2021
China;2024;Dairy Products;3631793;3065691;10443;113198;4572; 8.441.260.281.078.790,00 ;2022-2024
China;2020;Frozen Food;4868995;4110623;9346;74618;5869; 8.442.446.541.842.820,00 ;2018-2021
Brazil;2023;Grains & Cereals;1605657;1355644;4871;69983;381; 8.442.923.986.878.890,00 ;2022-2024
Italy;2021;Prepared Food;3994494;3373285;15086;76358;5779; 8.444.836.817.879.810,00 ;2018-2021
South Korea;2018;Frozen Food;2394471;2022128;9254;110764;5908; 8.444.988.475.533.840,00 ;2018-2021
Russia;2018;Beverages;2098541;1772453;1034;72474;4948; 8.446.120.423.665.770,00 ;2018-2021
Indonesia;2021;Bakery Items;494203;4174741;3473;5436;6777; 8.447.421.403.755.140,00 ;2018-2021
Russia;2022;Beverages;3328479;2812649;13845;111387;6406; 8.450.253.103.594.760,00 ;2022-2024
UK;2023;Prepared Food;4199988;3549164;2129;62516;5464; 8.450.414.620.232.250,00 ;2022-2024
Saudi Arabia;2023;Bakery Items;1907125;1611706;10198;62798;5809; 8.450.972.012.846.560,00 ;2022-2024
Spain;2022;Fruits & Vegetables;2920496;2468322;8566;87028;3645; 8.451.721.899.293.820,00 ;2022-2024
Germany;2018;Bakery Items;1012202;855514;18365;63796;6461; 8.452.008.591.170.540,00 ;2018-2021
Russia;2019;Bakery Items;1547691;1308799;1765;13358;367; 8.456.461.916.493.670,00 ;2018-2021
USA;2019;Frozen Food;3437717;2907221;14008;98411;586; 8.456.836.324.805.100,00 ;2018-2021
Turkey;2021;Bakery Items;2568463;2172221;11891;131259;632; 8.457.279.703.854.020,00 ;2018-2021
Mexico;2023;Bakery Items;4766194;403132;14701;17382;5707; 8.458.153.402.903.870,00 ;2022-2024
South Korea;2019;Bakery Items;1558049;1317924;10145;101713;6601; 8.458.809.703.674.270,00 ;2018-2021
China;2019;Prepared Food;3577359;3026075;17657;75216;3807; 8.458.963.721.561.070,00 ;2018-2021
Russia;2022;Prepared Food;4863845;411472;16593;11272;3342; 8.459.809.060.527.220,00 ;2022-2024
Brazil;2019;Meat & Seafood;309391;2617428;12145;62318;582; 8.459.935.809.380.360,00 ;2018-2021
France;2022;Grains & Cereals;1283168;1085601;18733;24728;4936; 8.460.318.524.152.720,00 ;2022-2024
India;2018;Prepared Food;2485869;210344;15615;105739;5801; 8.461.588.281.602.930,00 ;2018-2021
France;2020;Beverages;65450;554007;6825;81551;4694; 8.464.583.651.642.480,00 ;2018-2021
Indonesia;2024;Beverages;1633896;1383073;16776;125052;3871; 8.464.877.813.520.570,00 ;2022-2024
Brazil;2018;Fruits & Vegetables;261445;2213169;17123;64498;5772; 8.465.141.808.028.460,00 ;2018-2021
UK;2018;Beverages;1529475;1294879;13972;32128;591; 8.466.166.495.039.150,00 ;2018-2021
UK;2019;Dairy Products;2541974;2152164;7121;125714;5272; 8.466.506.738.463.890,00 ;2018-2021
China;2020;Bakery Items;3856443;3265889;2613;36246;5473; 8.468.656.220.252.700,00 ;2018-2021
China;2018;Grains & Cereals;3041147;2576076;9473;54801;6444; 8.470.738.178.720.070,00 ;2018-2021
Brazil;2019;Meat & Seafood;2333488;1976699;12992;1713;5406; 8.471.005.636.197.830,00 ;2018-2021
Australia;2018;Prepared Food;3506305;2970246;5962;82163;6742; 8.471.156.958.678.720,00 ;2018-2021
Germany;2020;Grains & Cereals;4897079;4148998;7384;273;5961; 8.472.393.441.069.670,00 ;2018-2021
Turkey;2020;Frozen Food;3613486;3061493;6298;110462;5302; 8.472.408.638.085.220,00 ;2018-2021
Indonesia;2021;Meat & Seafood;1746546;1479767;8639;120628;4951; 8.472.533.789.548.060,00 ;2018-2021
Russia;2019;Prepared Food;367884;3117063;17362;107179;4013; 8.472.950.712.724.660,00 ;2018-2021
Brazil;2018;Frozen Food;356336;30193;1742;33096;3321; 8.473.182.614.161.910,00 ;2018-2021
Japan;2019;Fruits & Vegetables;396786;336237;8492;72591;4656; 8.474.013.700.080.140,00 ;2018-2021
Indonesia;2024;Dairy Products;2601474;2204611;13972;3095;6494; 8.474.468.705.049.520,00 ;2022-2024
Russia;2024;Frozen Food;904912;766869;5221;111126;4761; 8.474.514.648.938.240,00 ;2022-2024
India;2022;Grains & Cereals;2458927;2084073;14307;81188;4619; 8.475.538.314.069.510,00 ;2022-2024
China;2023;Beverages;371238;314693;15755;70935;4342; 8.476.853.123.872.020,00 ;2022-2024
South Africa;2021;Beverages;4831198;4096223;19967;3381;3875; 8.478.689.964.683.710,00 ;2018-2021
Canada;2024;Fruits & Vegetables;2846183;2413213;8606;12466;564; 8.478.769.636.386.700,00 ;2022-2024
France;2022;Prepared Food;511799;434083;14817;86014;4971; 8.481.513.250.318.970,00 ;2022-2024
Canada;2021;Beverages;2972521;2521494;19335;70482;5022; 8.482.678.507.569.840,00 ;2018-2021
USA;2021;Prepared Food;2096266;1778372;10866;110748;3681; 8.483.522.606.386.780,00 ;2018-2021
Australia;2022;Beverages;410334;348124;16215;72416;4073; 8.483.917.979.012.220,00 ;2022-2024
USA;2023;Dairy Products;982136;83336;5023;6053;6621; 8.485.179.241.978.710,00 ;2022-2024
Spain;2021;Beverages;4520406;3835852;8187;73255;4884; 8.485.636.024.728.750,00 ;2018-2021
Italy;2018;Prepared Food;4461567;3786126;10018;120829;5142; 8.486.090.201.043.710,00 ;2018-2021
Japan;2021;Frozen Food;4652088;3947868;15188;99948;3513; 8.486.228.119.502.470,00 ;2018-2021
India;2018;Fruits & Vegetables;401968;34112;13312;40295;4421; 8.486.247.661.505.390,00 ;2018-2021
USA;2018;Grains & Cereals;4379826;371794;19741;64619;5968; 8.488.784.714.278.600,00 ;2018-2021
Argentina;2021;Bakery Items;1317703;1118644;9641;86697;6426; 8.489.348.510.248.520,00 ;2018-2021
Spain;2023;Meat & Seafood;1186267;1007138;13618;138463;4099; 8.489.977.382.832.030,00 ;2022-2024
India;2022;Grains & Cereals;3236555;2747909;19192;12182;5368; 8.490.228.035.673.730,00 ;2022-2024
Germany;2021;Fruits & Vegetables;1683717;1429795;11262;50137;5657; 8.491.896.203.459.370,00 ;2018-2021
Argentina;2018;Meat & Seafood;3459056;2937524;19351;17671;377; 8.492.270.723.573.140,00 ;2018-2021
France;2021;Beverages;258439;219485;4357;114263;6244; 8.492.719.752.049.810,00 ;2018-2021
Turkey;2019;Frozen Food;3177563;2698929;1355;94601;4583; 8.493.707.284.481.850,00 ;2018-2021
Turkey;2021;Fruits & Vegetables;838738;71246;4827;41651;5722; 8.494.428.534.297.960,00 ;2018-2021
China;2020;Dairy Products;1704956;144828;1493;47311;3966; 8.494.530.064.118.960,00 ;2018-2021
France;2024;Fruits & Vegetables;3294834;279889;5841;92596;3692; 8.494.783.045.215.630,00 ;2022-2024
Brazil;2018;Grains & Cereals;2875218;2442446;13827;52154;6635; 8.494.820.218.849.490,00 ;2018-2021
Argentina;2018;Bakery Items;902801;766953;2827;9979;6297; 8.495.260.860.366.790,00 ;2018-2021
India;2021;Beverages;2035156;1728967;5524;22161;4873; 8.495.501.081.980.940,00 ;2018-2021
Mexico;2019;Grains & Cereals;2051013;1742462;10061;17655;6627; 8.495.616.556.306.570,00 ;2018-2021
Italy;2023;Meat & Seafood;4266531;3625452;15362;11731;451; 8.497.423.316.507.020,00 ;2022-2024
France;2018;Frozen Food;3654758;3106102;535;68003;376; 8.498.789.796.752.620,00 ;2018-2021
Turkey;2021;Meat & Seafood;4722773;4015885;2815;90921;4731; 8.503.235.281.475.520,00 ;2018-2021
India;2024;Fruits & Vegetables;1209015;1028178;19308;128865;6867; 8.504.261.733.725.390,00 ;2022-2024
Turkey;2023;Meat & Seafood;2525513;2147856;12832;45867;6852; 8.504.632.524.164.400,00 ;2022-2024
Saudi Arabia;2022;Beverages;3065252;2606974;766;11213;6533; 8.504.925.533.039.370,00 ;2022-2024
Canada;2024;Meat & Seafood;3193565;2716323;12164;77633;4324; 8.505.613.632.413.930,00 ;2022-2024
Saudi Arabia;2021;Beverages;4511122;3837258;10135;16636;6961; 8.506.216.413.566.290,00 ;2018-2021
Saudi Arabia;2019;Bakery Items;1558363;1325585;4661;97305;4162; 8.506.265.870.018.730,00 ;2018-2021
India;2019;Beverages;1686623;1434929;3473;133125;5021; 8.507.704.448.474.850,00 ;2018-2021
Argentina;2023;Frozen Food;3957531;3367946;1569;82008;5806; 8.510.220.134.725.410,00 ;2022-2024
Germany;2020;Dairy Products;2842226;2419007;11924;33115;6447; 8.510.959.367.763.160,00 ;2018-2021
Spain;2021;Meat & Seafood;787309;670154;2245;69077;4038; 8.511.956.550.731.670,00 ;2018-2021
Australia;2018;Frozen Food;86589;737051;3719;84313;4163; 8.512.062.733.141.620,00 ;2018-2021
South Africa;2020;Bakery Items;471785;401609;4943;118253;4506; 8.512.542.789.618.150,00 ;2018-2021
Italy;2019;Prepared Food;300777;256049;10909;131213;395; 8.512.918.208.506.630,00 ;2018-2021
Indonesia;2018;Dairy Products;2422054;206189;9373;25186;4695; 8.512.981.130.891.380,00 ;2018-2021
Turkey;2018;Prepared Food;2794626;237969;16012;115492;6517; 8.515.236.028.005.180,00 ;2018-2021
Indonesia;2024;Fruits & Vegetables;1177028;1002589;7483;3192;4944; 8.517.970.685.489.210,00 ;2022-2024
China;2018;Grains & Cereals;2038848;1736944;19585;90406;6103; 8.519.242.238.754.430,00 ;2018-2021
China;2020;Grains & Cereals;1457842;1242107;2785;98921;5057; 8.520.175.711.771.230,00 ;2018-2021
Spain;2024;Prepared Food;1252447;1067138;18096;115344;5193; 8.520.424.417.160.970,00 ;2022-2024
USA;2021;Fruits & Vegetables;4799343;4089414;8928;93201;5005; 8.520.778.781.595.730,00 ;2018-2021
France;2023;Bakery Items;1527597;1301674;3968;64022;6068; 8.521.056.273.349.580,00 ;2022-2024
Mexico;2018;Frozen Food;667642;568953;4756;27296;6483; 8.521.827.566.270.550,00 ;2018-2021
France;2021;Fruits & Vegetables;1627292;1387108;6844;8348;4768; 8.524.026.419.351.900,00 ;2018-2021
Saudi Arabia;2021;Frozen Food;2772079;2362995;357;48341;4931; 8.524.270.051.466.790,00 ;2018-2021
Australia;2022;Dairy Products;3392362;2892139;19502;90928;687; 8.525.443.334.172.470,00 ;2022-2024
India;2021;Fruits & Vegetables;1935273;1649962;3008;60753;6534; 8.525.732.545.227.470,00 ;2018-2021
Japan;2019;Grains & Cereals;3228984;2752979;920;921;4177; 8.525.836.609.905.780,00 ;2018-2021
Canada;2020;Dairy Products;4778637;4074303;7282;5103;4968; 8.526.077.624.226.320,00 ;2018-2021
Spain;2018;Dairy Products;3673078;3131717;10227;109995;6006; 8.526.138.023.750.110,00 ;2018-2021
Canada;2021;Prepared Food;1238985;1056407;17553;34895;5696; 8.526.390.553.557.950,00 ;2018-2021
Spain;2018;Bakery Items;172067;1467227;5556;97752;5668; 8.527.067.944.463.490,00 ;2018-2021
Canada;2023;Grains & Cereals;1395886;1190319;1571;56427;6931; 8.527.336.759.592.110,00 ;2022-2024
Canada;2023;Grains & Cereals;2420454;2064266;2309;99067;5077; 8.528.424.832.696.680,00 ;2022-2024
Canada;2019;Frozen Food;2794756;2383643;4748;60014;5469; 8.528.984.283.422.240,00 ;2018-2021
India;2020;Beverages;2724863;2324207;14717;1590;3327; 8.529.628.829.045.720,00 ;2018-2021
USA;2024;Frozen Food;712582;607902;16578;68489;3208; 8.530.976.084.155.930,00 ;2022-2024
China;2019;Bakery Items;838126;715057;13206;13079;3753; 8.531.616.964.513.690,00 ;2018-2021
Saudi Arabia;2023;Bakery Items;997279;850879;6235;128668;482; 8.532.005.587.202.780,00 ;2022-2024
Italy;2024;Meat & Seafood;309667;264210;8497;33378;4828; 8.532.068.318.548.630,00 ;2022-2024
Saudi Arabia;2018;Fruits & Vegetables;1024928;874521;2377;138422;3999; 8.532.511.552.030.970,00 ;2018-2021
USA;2020;Meat & Seafood;1043743;890598;13087;9517;4916; 8.532.732.674.614.340,00 ;2018-2021
South Africa;2019;Beverages;1261345;1076424;10154;39198;6316; 8.533.937.978.903.470,00 ;2018-2021
USA;2018;Grains & Cereals;4790754;4090014;8234;110175;4608; 8.537.307.488.549.820,00 ;2018-2021
Mexico;2020;Beverages;265811;22696;13754;114433;4768; 8.538.397.583.245.240,00 ;2018-2021
South Korea;2021;Frozen Food;342540;2924907;19189;88985;6688; 8.538.877.211.420.560,00 ;2018-2021
UK;2018;Frozen Food;1883827;1608677;5322;121941;4494; 8.539.409.404.366.750,00 ;2018-2021
India;2022;Bakery Items;2209949;1887366;1755;127799;6029; 8.540.314.731.244.930,00 ;2022-2024
Russia;2024;Dairy Products;37718;322132;4231;137453;3863; 8.540.537.674.319.950,00 ;2022-2024
Saudi Arabia;2018;Dairy Products;3476586;2969446;390;18797;3441; 8.541.270.085.077.720,00 ;2018-2021
Canada;2024;Prepared Food;3754225;3206637;15609;13595;4503; 8.541.408.679.554.370,00 ;2022-2024
France;2021;Prepared Food;1875431;1602053;6053;13746;611; 8.542.319.072.255.920,00 ;2018-2021
Indonesia;2019;Meat & Seafood;361399;308786;13653;34948;577; 8.544.185.235.709.010,00 ;2018-2021
India;2020;Meat & Seafood;1612459;1377936;12251;136998;3796; 8.545.556.817.258.610,00 ;2018-2021
Russia;2020;Grains & Cereals;3903985;3336262;12373;104435;5872; 8.545.785.908.501.190,00 ;2018-2021
Spain;2021;Bakery Items;429929;367424;2992;120114;3842; 8.546.155.295.409.240,00 ;2018-2021
Italy;2023;Dairy Products;1107621;946817;2369;84722;5589; 8.548.203.762.839.450,00 ;2022-2024
Mexico;2022;Prepared Food;1531277;1309017;2872;99286;4973; 8.548.531.715.685.670,00 ;2022-2024
Spain;2020;Fruits & Vegetables;3426814;2930139;10874;6314;614; 8.550.621.656.150.580,00 ;2018-2021
Brazil;2024;Beverages;4618583;3950432;10727;35455;4143; 8.553.342.009.876.190,00 ;2022-2024
Turkey;2020;Meat & Seafood;2251803;1926194;6151;9952;3352; 8.554.007.610.790.110,00 ;2018-2021
USA;2021;Dairy Products;2665127;2280042;19503;137022;681; 8.555.096.999.129.870,00 ;2018-2021
Italy;2023;Dairy Products;3712877;3176522;9357;67142;6243; 8.555.419.422.727.980,00 ;2022-2024
UK;2022;Bakery Items;317996;272075;7339;104255;6284; 8.555.925.231.763.920,00 ;2022-2024
Germany;2021;Frozen Food;509501;435958;18467;17595;3896; 8.556.568.093.095.010,00 ;2018-2021
Indonesia;2021;Frozen Food;169254;144829;18596;70914;691; 8.556.902.643.364.410,00 ;2018-2021
Indonesia;2024;Grains & Cereals;1961676;1678722;1165;25322;6154; 8.557.590.550.121.430,00 ;2022-2024
Canada;2018;Grains & Cereals;2712592;2321443;19638;72151;5172; 8.558.024.944.407.420,00 ;2018-2021
Spain;2023;Fruits & Vegetables;4999076;4280182;3159;10547;5211; 8.561.946.247.666.570,00 ;2022-2024
UK;2024;Bakery Items;655835;561549;5799;104971;566; 8.562.351.811.050.030,00 ;2022-2024
Turkey;2019;Beverages;1239919;1062016;8568;2885;479; 8.565.204.662.562.630,00 ;2018-2021
Spain;2022;Fruits & Vegetables;4989396;4273919;12354;44697;6203; 8.566.004.782.943.670,00 ;2022-2024
Turkey;2018;Beverages;3564951;3054138;6702;65366;3502; 8.567.124.765.529.740,00 ;2018-2021
Saudi Arabia;2021;Fruits & Vegetables;487665;417805;351;7523;6237; 8.567.459.218.931.030,00 ;2018-2021
USA;2018;Dairy Products;165334;1416922;16861;76669;3308; 8.570.058.185.249.250,00 ;2018-2021
Germany;2023;Prepared Food;207865;1781484;14272;10631;4181; 8.570.389.435.450.890,00 ;2022-2024
Indonesia;2019;Beverages;2374549;2035151;2009;6025;6829; 8.570.684.369.958.250,00 ;2018-2021
Turkey;2024;Meat & Seafood;1438399;1232825;4013;54434;3042; 8.570.813.800.621.380,00 ;2022-2024
Brazil;2023;Fruits & Vegetables;1951689;1672823;11866;29923;3085; 8.571.155.547.835.750,00 ;2022-2024
Canada;2019;Meat & Seafood;3521745;3019096;8434;90188;4603; 8.572.727.440.515.990,00 ;2018-2021
Saudi Arabia;2019;Meat & Seafood;4315438;3700011;17509;109735;3054; 8.573.894.469.112.990,00 ;2018-2021
Germany;2020;Bakery Items;3779237;324032;203;9849;6586; 8.574.005.811.225.920,00 ;2018-2021
India;2024;Prepared Food;1161412;99591;7521;129053;5598; 8.574.993.197.934.930,00 ;2022-2024
USA;2019;Prepared Food;2498219;214235;19036;80657;3593; 8.575.509.192.748.910,00 ;2018-2021
China;2021;Prepared Food;1251365;1073201;8982;137659;3084; 8.576.242.742.924.730,00 ;2018-2021
Saudi Arabia;2024;Dairy Products;1034633;887346;17804;17447;4691; 8.576.432.416.132.100,00 ;2022-2024
Brazil;2024;Bakery Items;4278414;3670024;9832;39553;5334; 8.578.001.100.407.770,00 ;2022-2024
Russia;2024;Fruits & Vegetables;56382;4837;8746;93648;5348; 8.578.979.106.807.140,00 ;2022-2024
Spain;2021;Bakery Items;3880786;3330336;12093;29534;3723; 8.581.601.768.301.580,00 ;2018-2021
Japan;2018;Prepared Food;324296;2783454;8923;47902;6322; 8.583.066.087.771.670,00 ;2018-2021
Canada;2021;Beverages;141877;1217746;1829;57163;4676; 8.583.110.722.668.230,00 ;2018-2021
South Africa;2018;Grains & Cereals;1122986;964107;17521;83135;3132; 8.585.209.432.708.870,00 ;2018-2021
Germany;2024;Prepared Food;3485172;2992281;1371;17834;4051; 8.585.748.422.172.560,00 ;2022-2024
Turkey;2024;Prepared Food;2164526;185876;5784;110187;4443; 8.587.376.635.808.490,00 ;2022-2024
Argentina;2019;Beverages;1251584;1074791;10454;6257;3589; 8.587.445.988.443.440,00 ;2018-2021
Indonesia;2023;Bakery Items;2217705;1904494;10683;112413;6286; 8.587.679.605.718.520,00 ;2022-2024
Germany;2019;Fruits & Vegetables;4025589;3457093;19477;57392;4481; 8.587.794.233.340.760,00 ;2018-2021
South Africa;2024;Fruits & Vegetables;2885911;247856;10106;100172;478; 8.588.483.844.442.880,00 ;2022-2024
Mexico;2019;Dairy Products;926519;795854;14183;41936;4735; 8.589.721.311.705.430,00 ;2018-2021
Japan;2020;Frozen Food;1280016;109986;12114;74972;4326; 8.592.548.843.139.460,00 ;2018-2021
Japan;2023;Dairy Products;928285;797685;4424;25385;595; 8.593.104.488.384.490,00 ;2022-2024
Saudi Arabia;2019;Prepared Food;3371646;2897475;18197;30942;6612; 8.593.651.290.793.870,00 ;2018-2021
Australia;2024;Bakery Items;130166;1118942;8981;38082;3644; 8.596.269.379.100.530,00 ;2022-2024
Turkey;2024;Grains & Cereals;3134038;2694389;2684;96326;4596; 8.597.180.378.795.660,00 ;2022-2024
USA;2022;Bakery Items;3245798;2790584;4677;8656;4646; 8.597.528.250.371.710,00 ;2022-2024
Canada;2021;Grains & Cereals;267474;229971;18796;2034;6836; 8.597.882.411.000.700,00 ;2018-2021
Argentina;2018;Grains & Cereals;1598389;1374301;11851;61362;4439; 8.598.038.399.913.910,00 ;2018-2021
Russia;2024;Meat & Seafood;4257612;3660889;1221;23232;4914; 8.598.456.129.868.100,00 ;2022-2024
Spain;2019;Meat & Seafood;362254;311514;3451;106283;6354; 8.599.325.335.262.000,00 ;2018-2021
South Korea;2018;Frozen Food;1586351;1364208;17676;26559;368; 8.599.660.478.670.860,00 ;2018-2021
Indonesia;2021;Prepared Food;1317308;1133258;11906;110648;6098; 8.602.832.443.134.030,00 ;2018-2021
France;2021;Meat & Seafood;367691;3163383;17035;15941;4302; 8.603.373.484.801.100,00 ;2018-2021
India;2021;Frozen Food;1706929;1468611;324;71398;6151; 8.603.820.076.874.900,00 ;2018-2021
UK;2019;Grains & Cereals;3539044;3045331;2572;110318;645; 8.604.953.767.175.540,00 ;2018-2021
Mexico;2022;Fruits & Vegetables;4238409;3647421;6716;94385;549; 8.605.637.162.435.240,00 ;2022-2024
Saudi Arabia;2024;Meat & Seafood;204082;175633;14704;81525;3884; 8.606.001.509.197.280,00 ;2022-2024
Spain;2020;Grains & Cereals;1575394;1355812;12464;25344;6148; 8.606.177.248.358.190,00 ;2018-2021
France;2024;Beverages;2256853;1942619;3478;33757;4697; 8.607.645.247.608.060,00 ;2022-2024
Saudi Arabia;2018;Prepared Food;4668048;4019028;2828;2419;6675; 8.609.654.399.440.620,00 ;2018-2021
France;2022;Bakery Items;424976;365899;18854;137548;3406; 8.609.874.439.968.370,00 ;2022-2024
Italy;2023;Dairy Products;1332603;1147494;13932;101874;4319; 8.610.921.632.324.110,00 ;2022-2024
France;2018;Frozen Food;4903039;4222517;13044;10472;4158; 8.612.040.410.039.570,00 ;2018-2021
South Korea;2019;Fruits & Vegetables;3989688;3436558;9278;74495;694; 8.613.600.863.024.880,00 ;2018-2021
Saudi Arabia;2020;Bakery Items;3692548;318074;19665;38331;5496; 8.613.943.542.507.770,00 ;2018-2021
Italy;2024;Prepared Food;3943011;3396767;19556;123838;5191; 8.614.652.609.389.120,00 ;2022-2024
Turkey;2022;Fruits & Vegetables;898357;773929;19057;14656;5363; 8.614.938.159.328.640,00 ;2022-2024
Turkey;2018;Frozen Food;1882466;1622122;12156;119079;516; 8.617.005.566.103.190,00 ;2018-2021
Germany;2018;Fruits & Vegetables;2288843;1972819;19841;28695;642; 8.619.284.940.033.020,00 ;2018-2021
South Korea;2020;Grains & Cereals;306791;2644392;1728;119667;3485; 8.619.522.736.977.290,00 ;2018-2021
Mexico;2023;Dairy Products;327954;282711;13678;120345;5179; 8.620.446.769.973.840,00 ;2022-2024
Italy;2022;Grains & Cereals;280881;2421509;7632;72994;5491; 8.621.120.688.120.590,00 ;2022-2024
South Korea;2022;Frozen Food;3489277;300871;16347;16787;5614; 8.622.731.872.534.050,00 ;2022-2024
Brazil;2019;Dairy Products;1649728;142262;15487;6633;4036; 8.623.360.941.924.970,00 ;2018-2021
Turkey;2022;Meat & Seafood;4126364;3558319;3778;41722;4068; 8.623.376.415.653.100,00 ;2022-2024
Canada;2020;Frozen Food;498855;4303244;3874;8182;371; 8.626.242.094.396.170,00 ;2018-2021
South Africa;2021;Frozen Food;2487969;214622;15714;94537;6244; 8.626.393.656.834.150,00 ;2018-2021
